block_time,score,block_hash
32.33,95.700005,000000000000000000025bf9e9b8f772d0840d9d0aabe76aa353a66c2bd737a4
6.0,86.299995,00000000000000000002d782c3b93ac2d220442d1fd49dbf873dcada7d26ce93
3.36,87.3,00000000000000000000d19ef45a2dd3ab85e3e92476688994a0bf591cedf2d4
20.67,92.5,000000000000000000042e36a59601dc794f30a48e0cb4c32d46e8358997e344
7.31,98.5,000000000000000000036113de765f0257a81c3d221780774ccc24347147ee8f
9.53,99.1,00000000000000000003899dde8aa655315c8cc088dfb42c215142d04ca7a8d9
8.87,59.100002,0000000000000000000459b235399632c12ebe8928a0552331bbac430ea9fde0
5.42,41.800003,00000000000000000000bb183f9ddc572b1c2be46c2c6d21fcdf5fa0e991442c
8.17,72.1,000000000000000000005d5d7defc9015b228ee6c6cbe6b8bc808c414bd54d3c
6.92,45.3,000000000000000000000bb25e4b876fb5f65e2d611da00bfef5c1971f3d4841
9.9,48.0,00000000000000000000a7efc4e7f306e2318f1efa9d93fcc3e0996d98855356
3.31,48.899998,000000000000000000027a5513d4c1c646bbbda8dfcb9d41eda1c19c67751e4d
22.94,97.899994,00000000000000000003e7d8f9aa467d4d35e3cdc86e4fb2a93423c84ec4f735
7.78,94.700005,00000000000000000000a8b3cf97cf5fcfdbdd916907efe06badb51426aca455
14.32,99.6,0000000000000000000216ada86714266153512c6cbb2da77018d3ea9c51c445
46.62,96.5,00000000000000000002f0ac2935da6decfc820326d175558a93f67e654bed0b
35.61,87.2,000000000000000000047353db9fa6e674845434b33a85ef4f8f4552d8d84d54
8.38,84.6,000000000000000000029d656099e5df261d02fd9c3e1d65e9c6d76eac2062b3
14.8,84.6,00000000000000000001e39eb888b1d75471152652e62116bbad8da398b14a5c
27.23,99.299995,000000000000000000029346753d6ed4052591c4c87d1bf9dfec670ea4e30570
5.58,94.5,000000000000000000022c684ee39a2266fc300b925f3dff53e0aff99cc1feb3
11.41,89.200005,000000000000000000023c151b72b779d9d1754cd5237997eba06a602cba0ab5
9.11,91.399994,000000000000000000023697bf0f257539d7613ba89d63cbee879cd66d175dcf
10.7,86.0,000000000000000000010936ae7cb3374ca6265df8cc97c447a9ea9c440014a0
10.77,60.399998,000000000000000000036e6bfeb79e2a3cc83aacf339278c14388e28840002a4
4.32,51.899998,00000000000000000001a01622ee349cf1ef0510465017b6164bfee0ed77d501
40.16,88.4,0000000000000000000033b392508c16620d193ea513d0b24a2f78f35183573c
19.28,91.0,00000000000000000004134d5fded4448260783d31eff1a45728d36c0d4d7adc
17.52,97.399994,00000000000000000002b0e90405e5812f7550d18b970cc4696bae6b4d882e3a
4.59,52.899998,00000000000000000001498122d2b9cbd4e21c9198fd497270206240683774da
4.91,47.600002,00000000000000000000eece02294bb6dc81d6d001f61ad191ad9435b5e41813
23.65,90.6,0000000000000000000026ca52c3b5e528418177588c1c95cb6bcf35f5d234be
47.73,99.7,000000000000000000031f3e247e8c85748f351221f6d4096cbc4e330e2388f9
7.2,61.3,00000000000000000002bd497c46eca70720fd0e18c4abecd9b6e7f748a52133
3.79,71.9,000000000000000000023be63475b47162797cb86fdd3b84710b203e626a597a
4.69,80.0,000000000000000000041cb452fbf3300f48df8a43be386ce231fd6d6d067dce
4.34,84.799995,0000000000000000000063245d64b409375ce5fce08652dd3a8f8df65cb96a37
8.53,99.7,000000000000000000017f01c64a33a3acc098f0d4da15cf7335954115caff4d
60.08,96.8,0000000000000000000048be207576b9bdca357c3989604ad555ab2581f206d6
10.82,77.600006,00000000000000000000962312603d41b48c234ee818e245141055fb6a2c8cdc
28.1,93.0,00000000000000000003a1ba5b98d496799cfea529b27209d37044ec9c2b6b00
8.69,90.7,000000000000000000049c0cb4001f92ea9ceb8b56da6f16ed18d859cee9a8e2
8.68,66.7,000000000000000000042d523b60fa0147c7d843913d337d02168aa962f0f3da
52.73,95.5,000000000000000000036cac09a8f3232563294ef01be9e54e84fd7ba61acf60
23.78,96.9,00000000000000000003611f6ee78594858433da5285a5f1eed2e15766bf0ec7
6.92,75.5,000000000000000000009c449f09e69c9d23634a20b514d1d35c22af8e040d9e
